Address,Area,Price,Lat,Lon
86 Waterford Dr Toronto,Richview,999888,43.679882,-79.54426600000001
#80 - 100 BEDDOE DR Hamilton,Chedoke Park B,399900,43.25,-79.90439599999999
213 Bowman Street Hamilton,Ainslie Wood East,479000,43.25169,-79.91935699999999
102 NEIL Avenue Hamilton,Greenford,285900,43.227160999999995,-79.767403
#1409 - 230 King St Toronto,Downtown,362000,43.651478000000004,-79.36811800000001
254A Monarch Park Ave Toronto,Old East York,1488000,43.686375,-79.328918
532 Caledonia Rd Toronto,Fairbank,25,43.691193,-79.461662
11 REBECCA Street Hamilton,Central Hamilton,254900,43.258540999999994,-79.867615
617 BRIGADOON Drive Hamilton,Gourley,364900,43.216557,-79.90499100000001
51 - 255 MOUNT ALBION Road Hamilton,Red Hill,304900,43.215706,-79.794189
1170 LAMBTON Drive Oakville,Clearview,1289000,43.495579,-79.658272
47 Armstrong Ave Toronto,Wallace Emerson,113,43.664101,-79.439751
3 Bracebridge Ave Toronto,Old East York,599900,43.697842,-79.317368
#808 - 2167 Lake Shore Blvd Toronto,Parkdale,97,43.635578,-79.441345
#2706 - 2167 Lake Shore Blvd Toronto,Parkdale,49,43.635578,-79.441345
#710 - 1080 Bay St Toronto,Downtown,805900,43.666794,-79.388756
#A - 753 Shaw St Toronto,Midtown Toronto,97,43.662872,-79.423233
160 Jenkinson Way Toronto,Dorset Park,549900,43.749598999999996,-79.270844
40 Hawthorne Rd Toronto,Richview,850000,43.692314,-79.552635
#4905 - 16 Harbour St Toronto,Downtown,1348000,43.642578,-79.3769
166 Mcnicoll Ave Toronto,Hillcrest Village,129,43.799479999999996,-79.357445
430 Military Tr Toronto,Morningside,675000,43.788639,-79.207932
67 Montressor Dr Toronto,St. Andrew - Windfields,113,43.759003,-79.392075
46 Bruce Farm Dr Toronto,Bayview Woods - Steeles,49,43.799358000000005,-79.377914
#1215 - 2627 Mccowan Rd Toronto,Agincourt,49,43.807091,-79.26553299999999
247 Westmount Ave Toronto,St. Clair West Village,25,43.68227,-79.44339000000001
31 Yorkshire Rd Toronto,Ionview,499900,43.740097,-79.273987
34 Ordway Rd Toronto,Kennedy Park,599000,43.733814,-79.25
47 Waterbeach Cres Toronto,Rexdale,549900,43.726189,-79.582047
2 Moraine Hill Dr Toronto,Tam O'Shanter,698000,43.774623999999996,-79.298141
11 Mid Pines Rd Toronto,Woburn,145,43.769413,-79.21145600000001
#1002 - 61 Richview Rd Toronto,Humber Heights - Westmount,25,43.68417,-79.516685
20 Shrewsbury Sq Toronto,Tam O'Shanter - Sullivan,145,43.772118,-79.309311
#18 - 170 Wickson Tr Toronto,Malvern,338000,43.805099,-79.21195999999999
6 Willesden Rd Toronto,Don Valley Village,699800,43.792187,-79.365669
